current_process	branch_scope	historical_script	historical_cpus	historical_memory	historical_time	historical_gpu	current_baseline_cpus	current_baseline_memory	current_baseline_time	optional_gpu_mode	source	notes
CHECK_SAMPLESHEET	all	none	not applicable	not applicable	not applicable	not applicable	1	1 GB	30m	no	conf/resources.config	No equivalent historical SLURM script; policy fallback.
RESOLVE_SRA_PROJECT	SRA discovery	none	not applicable	not applicable	not applicable	not applicable	1	2 GB	2h	no	conf/resources.config	Metadata-only process; no equivalent historical job; policy fallback.
VALIDATE_SRA_PROJECT	SRA discovery	none	not applicable	not applicable	not applicable	not applicable	1	2 GB	2h	no	conf/resources.config	Metadata-only process; no equivalent historical job; policy fallback.
CHECK_SRA_CHECKPOINTS	SRA lifecycle	none	not applicable	not applicable	not applicable	not applicable	1	2 GB	2h	no	conf/resources.config	Full gzip/pair/hash validation; no equivalent historical job; policy fallback.
SRA_ACQUIRE	SRA preprocessing	Metagenomics/Raw_data/sra-tools.sh	12	19G	not recorded	none requested	12	19 GB	2d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Raw_data/sra-tools.sh #SBATCH; conf/resources.config	CPU/RAM recovered; the historical all-project uncompressed lifecycle and host/partition were not copied. Current time is a policy fallback.
PERSIST_SRA_CHECKPOINT	SRA preprocessing	none	not applicable	not applicable	not applicable	not applicable	2	8 GB	1d	no	conf/resources.config	No equivalent historical durable-checkpoint process; policy fallback.
FINALIZE_SRA_GLOBAL_RUN	SRA lifecycle	none	not applicable	not applicable	not applicable	not applicable	1	2 GB	2h	no	conf/resources.config	Small success-marker process; no equivalent historical job; policy fallback.
FASTQC_RAW	per sample	Metagenomics/Quality_control/FastQC_raw/fastqc_raw.sh	4	19G	not recorded	none requested	4	19 GB	1d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Quality_control/FastQC_raw/fastqc_raw.sh #SBATCH; conf/resources.config	Historical job looped across samples; the current request is per sample. Current time is a policy fallback.
FASTQC_CLEAN	per sample	Metagenomics/Quality_control/FastQC_clean/fastqc_clean.sh	4	19G	not recorded	none requested	4	19 GB	1d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Quality_control/FastQC_clean/fastqc_clean.sh #SBATCH; conf/resources.config	Historical job looped across samples; the current request is per sample. Current time is a policy fallback.
FASTP	per sample	Metagenomics/Quality_control/FastP/fastp.sh	16	19G	not recorded	none requested	16	19 GB	1d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Quality_control/FastP/fastp.sh #SBATCH; conf/resources.config	Historical allocation was 16 CPUs while tool arguments used six threads; current scientific arguments remain unchanged. Current time is a policy fallback.
BOWTIE2_HOST_REMOVAL	per sample	Metagenomics/Host_removal/bowtie2.sh	24	19G	not recorded	none requested	24	19 GB	2d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Host_removal/bowtie2.sh #SBATCH; conf/resources.config	Historical job looped across samples; the current request is per sample. Current time is a policy fallback.
MEGAHIT	global coassembly	Metagenomics/Assembly/MEGAHIT/MEGAHIT.sh	32	500G	not recorded	none requested	32	500 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Assembly/MEGAHIT/MEGAHIT.sh #SBATCH; conf/resources.config	Current time is a policy fallback; historical host/topology/scratch settings were not copied.
SPADES	global coassembly	Metagenomics/Assembly/metaSPAdes/metaspades.sh	32	1800G	not recorded	none requested	32	1800 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Assembly/metaSPAdes/metaspades.sh lines 8-9 #SBATCH; conf/resources.config	The 32-CPU/1800G request is explicitly confirmed. Current time is a policy fallback; historical /tmp, host, and partition were not copied.
METAQUAST_MEGAHIT	MEGAHIT	Metagenomics/Assembly/MEGAHIT/MetaQuast/metaquast.sh	6	20G	not recorded	none requested	6	20 GB	2d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Assembly/MEGAHIT/MetaQuast/metaquast.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
METAQUAST_SPADES	metaSPAdes	Metagenomics/Assembly/metaSPAdes/MetaQuast/metaquast.sh	6	20G	not recorded	none requested	6	20 GB	2d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Assembly/metaSPAdes/MetaQuast/metaquast.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
FILTER_CONTIGS	both assembly branches	none	not applicable	not applicable	not applicable	not applicable	2	4 GB	4h	no	conf/resources.config	Repository-local helper; no historical SLURM process; policy fallback.
COVERM_CONTIG	MEGAHIT	Metagenomics/Binning/MEGAHIT/CoverM/coverm.sh	24	100G	not recorded	none requested	24	100 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/CoverM/coverm.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
COVERM_CONTIG	metaSPAdes	Metagenomics/Binning/metaSPAdes/CoverM/coverm.sh	24	100G	not recorded	none requested	24	100 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/CoverM/coverm.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
COMEBIN	MEGAHIT	Metagenomics/Binning/MEGAHIT/Binner/COMEBin/comebin.sh	32	100G	not recorded	none requested	32	100 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Binner/COMEBin/comebin.sh #SBATCH; conf/resources.config; conf/gpu.config	Historical baseline requested no GPU; current time is a policy fallback.
COMEBIN	metaSPAdes	Metagenomics/Binning/metaSPAdes/Binner/COMEBin/comebin.sh	32	100G	not recorded	none requested	32	100 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Binner/COMEBin/comebin.sh #SBATCH; conf/resources.config; conf/gpu.config	Historical baseline requested no GPU; current time is a policy fallback.
METABAT2	MEGAHIT	Metagenomics/Binning/MEGAHIT/Binner/MetaBAT2/metabat2.sh	32	100G	not recorded	none requested	32	100 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Binner/MetaBAT2/metabat2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
METABAT2	metaSPAdes	Metagenomics/Binning/metaSPAdes/Binner/MetaBAT2/metabat2.sh	32	100G	not recorded	none requested	32	100 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Binner/MetaBAT2/metabat2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
SEMIBIN2	MEGAHIT	Metagenomics/Binning/MEGAHIT/Binner/SemiBin2/semibin2.sh	25	100G	not recorded	none requested	25	100 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Binner/SemiBin2/semibin2.sh #SBATCH; conf/resources.config; conf/gpu.config	Historical baseline requested no GPU; current time is a policy fallback.
SEMIBIN2	metaSPAdes	Metagenomics/Binning/metaSPAdes/Binner/SemiBin2/semibin2.sh	25	100G	not recorded	none requested	25	100 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Binner/SemiBin2/semibin2.sh #SBATCH; conf/resources.config; conf/gpu.config	Historical baseline requested no GPU; current time is a policy fallback.
VAMB	MEGAHIT	Metagenomics/Binning/MEGAHIT/Binner/Vamb/vamb.sh	32	100G	not recorded	none requested	32	100 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Binner/Vamb/vamb.sh #SBATCH; conf/resources.config; conf/gpu.config	Historical baseline requested no GPU; current time is a policy fallback.
VAMB	metaSPAdes	Metagenomics/Binning/metaSPAdes/Binner/Vamb/vamb.sh	12	20G	not recorded	none requested	12	20 GB	7d	1 GPU when enabled	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Binner/Vamb/vamb.sh #SBATCH; branch-qualified conf/resources.config; conf/gpu.config	Historical branch-specific request is preserved; historical baseline requested no GPU; current time is a policy fallback.
DASTOOL	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/DAS_Tool/das_tool.sh	24	250G	not recorded	none requested	24	250 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/DAS_Tool/das_tool.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
DASTOOL	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/DAS_Tool/das_tool.sh	24	250G	not recorded	none requested	24	250 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/DAS_Tool/das_tool.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
CHECKM2_RAW	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Raw_bin/CheckM2/checkm2.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Raw_bin/CheckM2/checkm2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
CHECKM2_CLEAN	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Clean_bin/CheckM2/checkm2.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Clean_bin/CheckM2/checkm2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
CHECKM2_RAW	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Raw_bin/CheckM2/checkm2.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Raw_bin/CheckM2/checkm2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
CHECKM2_CLEAN	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Clean_bin/CheckM2/checkm2.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Clean_bin/CheckM2/checkm2.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GUNC_RAW	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Raw_bin/GUNC/gunc.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Raw_bin/GUNC/gunc.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GUNC_CLEAN	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Clean_bin/GUNC/gunc.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Clean_bin/GUNC/gunc.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GUNC_RAW	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Raw_bin/GUNC/gunc.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Raw_bin/GUNC/gunc.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
GUNC_CLEAN	metaSPAdes	Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Clean_bin/GUNC/gunc.sh	24	25G	not recorded	none requested	24	25 GB	7d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/metaSPAdes/Refinement/Quality_control/Clean_bin/GUNC/gunc.sh #SBATCH; conf/resources.config	Current time is a policy fallback.
SELECT_HIGH_QUALITY_MAGS	both assembly branches	none	not applicable	not applicable	not applicable	not applicable	2	4 GB	4h	no	conf/resources.config	Repository-local helper; no historical SLURM process; policy fallback.
DREP_ANI_99	MEGAHIT	Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh	24	100G	not recorded	none requested	24	100 GB	14d	no	pd-multiomic-reproducible-workflow@9b14528:Metagenomics/Binning/MEGAHIT/Refinement/Quality_control/Dereplication_filtering/dRep/drep.sh #SBATCH; conf/resources.config	Current explicit 99% stage inherits the historical allocation; current time is a policy fallback.
